frame,object_name,yolo_confidence,depth_ft,used_vlm,output_text,latency_ms,direction
1640,bench,0.264,7.15,0,[FAST MODE - TOO CLOSE],151.47,left
1641,person,0.361,27.15,0,[FAST MODE - HIGH CONF],152.98,right
1642,person,0.262,26.82,0,[FAST MODE - HIGH CONF],151.75,right
1643,bench,0.364,6.16,0,[FAST MODE - TOO CLOSE],159.69,left
1644,person,0.256,26.72,0,[FAST MODE - HIGH CONF],143.27,left
1645,person,0.286,26.6,0,[FAST MODE - HIGH CONF],171.06,left
1646,person,0.308,26.5,0,[FAST MODE - HIGH CONF],156.39,left
1647,person,0.277,26.24,0,[FAST MODE - HIGH CONF],144.78,left
1648,bench,0.369,4.25,0,[FAST MODE - TOO CLOSE],152.28,left
1649,person,0.344,26.78,0,[FAST MODE - HIGH CONF],157.02,left
1650,person,0.25,26.39,0,[FAST MODE - HIGH CONF],170.05,left
1651,person,0.279,26.8,0,[FAST MODE - HIGH CONF],167.67,left
1652,bench,0.312,5.72,0,[FAST MODE - TOO CLOSE],144.7,left
1653,person,0.256,26.89,0,[FAST MODE - HIGH CONF],164.62,right
1654,person,0.428,27.12,0,[FAST MODE - HIGH CONF],146.54,right
1655,person,0.492,26.87,0,[FAST MODE - HIGH CONF],142.3,right
1656,potted plant,0.279,25.68,0,[FAST MODE - HIGH CONF],163.26,left
1657,bench,0.281,8.41,0,[FAST MODE - TOO CLOSE],169.0,left
1658,person,0.257,27.72,0,[FAST MODE - HIGH CONF],146.5,left
1659,person,0.26,28.26,0,[FAST MODE - HIGH CONF],147.58,left
1660,person,0.273,28.04,0,[FAST MODE - HIGH CONF],150.49,left
1661,person,0.375,27.08,0,[FAST MODE - HIGH CONF],140.85,right
1662,person,0.272,27.25,0,[FAST MODE - HIGH CONF],156.53,left
1663,person,0.266,27.05,0,[FAST MODE - HIGH CONF],142.28,left
1664,person,0.25,27.35,0,[FAST MODE - HIGH CONF],161.73,right
1665,person,0.285,27.49,0,[FAST MODE - HIGH CONF],169.16,left
1666,person,0.359,28.03,0,[FAST MODE - HIGH CONF],157.74,right
1667,person,0.262,27.14,0,[FAST MODE - HIGH CONF],174.87,left
1668,person,0.258,26.59,0,[FAST MODE - HIGH CONF],168.99,left
1669,person,0.258,26.63,0,[FAST MODE - HIGH CONF],180.93,left
1670,person,0.251,27.4,0,[FAST MODE - HIGH CONF],157.84,left
1671,person,0.49,27.45,0,[FAST MODE - HIGH CONF],171.96,right
1672,person,0.262,27.84,0,[FAST MODE - HIGH CONF],162.38,right
1673,person,0.264,27.89,0,[FAST MODE - HIGH CONF],135.28,right
1674,person,0.43,27.77,0,[FAST MODE - HIGH CONF],153.48,right
1675,person,0.308,27.92,0,[FAST MODE - HIGH CONF],170.13,right
1676,person,0.555,26.46,0,[FAST MODE - HIGH CONF],247.15,left
1677,person,0.261,26.54,0,[FAST MODE - HIGH CONF],159.94,left
1678,bench,0.306,6.72,0,[FAST MODE - TOO CLOSE],163.32,left
1679,person,0.383,26.86,0,[FAST MODE - HIGH CONF],156.45,left
1680,person,0.387,26.46,0,[FAST MODE - HIGH CONF],146.37,left
1681,person,0.29,26.54,0,[FAST MODE - HIGH CONF],138.19,left
1682,bench,0.283,5.29,0,[FAST MODE - TOO CLOSE],150.85,left
1683,person,0.277,28.63,0,[FAST MODE - HIGH CONF],160.79,right
1684,person,0.255,28.46,0,[FAST MODE - HIGH CONF],163.56,left
1685,person,0.272,29.06,0,[FAST MODE - HIGH CONF],150.37,right
1686,person,0.275,28.23,0,[FAST MODE - HIGH CONF],145.61,left
1687,person,0.283,28.25,0,[FAST MODE - HIGH CONF],156.19,right
1688,person,0.364,27.8,0,[FAST MODE - HIGH CONF],198.07,right
1689,person,0.369,28.75,0,[FAST MODE - HIGH CONF],175.89,right
1690,person,0.252,28.3,0,[FAST MODE - HIGH CONF],151.63,left
1691,person,0.344,27.92,0,[FAST MODE - HIGH CONF],198.77,right
1692,person,0.291,28.3,0,[FAST MODE - HIGH CONF],141.48,right
1693,person,0.602,28.1,0,[FAST MODE - HIGH CONF],194.13,left
1694,person,0.26,28.12,0,[FAST MODE - HIGH CONF],163.9,left
1695,person,0.293,28.7,0,[FAST MODE - HIGH CONF],162.86,left
1696,person,0.25,28.48,0,[FAST MODE - HIGH CONF],157.6,left
1697,person,0.263,28.44,0,[FAST MODE - HIGH CONF],155.14,left
1698,person,0.251,28.7,0,[FAST MODE - HIGH CONF],161.09,right
1699,person,0.295,28.13,0,[FAST MODE - HIGH CONF],149.19,right
1700,person,0.342,27.9,0,[FAST MODE - HIGH CONF],151.97,right
1701,person,0.253,27.78,0,[FAST MODE - HIGH CONF],141.82,left
1702,person,0.321,28.15,0,[FAST MODE - HIGH CONF],165.12,left
